Round 1
Tee No. 1
"12:41 PM,Paul Waring,Theo Humphrey,Ted Potter Jr."
"12:52 PM,Richy Werenski,Roberto Castro,Ollie Schniederjans"
"1:03 PM,Noah Goodwin,Richie Ramsay,Kenny Perry"
"1:14 PM,Keegan Bradley,Xander Schauffele,Emiliano Grillo"
"1:25 PM,Lucas Glover,Webb Simpson,Graeme McDowell"
"1:36 PM,Ernie Els,Steve Stricker,Jim Furyk"
"1:47 PM,Henrik Stenson,Adam Scott,Martin Kaymer"
"1:58 PM,Kevin Kisner,Ross Fisher,Adam Hadwin"
"2:09 PM,Shane Lowry,Chez Reavie,Byeong Hun An"
"2:20 PM,Lucas Herbert,Brian Stuard,Stewart Hagestad"
"2:31 PM,Franklin Huang,Sebastian Vazquez,Michael Miller"
"2:42 PM,Christopher Babcock,Timothy Wiseman,David Gazzolo"
Round 2
Tee No. 1
"6:45 AM,Matt Jones,Ryan Fox,Shota Akiyoshi"
"6:56 AM,Paul Waring,Theo Humphrey,Ted Potter Jr."
"7:07 AM,Richy Werenski,Roberto Castro,Ollie Schniederjans"
"7:18 AM,Noah Goodwin,Richie Ramsay,Kenny Perry"
"7:29 AM,Keegan Bradley,Emiliano Grillo,Xander Schauffele"
"7:40 AM,Lucas Glover,Webb Simpson,Graeme McDowell"
"7:51 AM,Ernie Els,Steve Stricker,Jim Furyk"
"8:02 AM,Henrik Stenson,Adam Scott,Martin Kaymer"
"8:13 AM,Kevin Kisner,Ross Fisher,Adam Hadwin"
"8:24 AM,Shane Lowry,Byeong Hun An,Chez Reavie"
"8:35 AM,Lucas Herbert,Brian Stuard,Stewart Hagestad"
"8:46 AM,Franklin Huang,Sebastian Vazquez,Michael Miller"
"8:57 AM,Christopher Babcock,Timothy Wiseman,David Gazzolo"
"12:30 PM,Scott Stallings,Sebastian Munoz,Matthew Southgate"
"12:41 PM,Trey Mullinax,Matt Parziale,Jason Scrivener"
"12:52 PM,David Bransdon,Eric Axley,Tyler Duncan"
"1:03 PM,Garrett Rank,Mackenzie Hughes,Aaron Baddeley"
"1:14 PM,Alexander Levy,Brian Harman,Patrick Cantlay"
"1:25 PM,Paul Casey,Satoshi Kodaira,Branden Grace"
"1:36 PM,Zach Johnson,Charl Schwartzel,Patrick Reed"
"1:47 PM,Rory McIlroy,Jordan Spieth,Phil Mickelson"
"1:58 PM,Hideki Matsuyama,Marc Leishman,Rickie Fowler"
"2:09 PM,Charles Howell III,Bill Haas,Charley Hoffman"
"2:20 PM,Sung-jae Im,Russell Knox,Matt Wallace"
"2:31 PM,Shintaro Ban,Sung Joon Park,Tim Wilkinson"
"2:42 PM,Dylan Meyer,Sulman Raza,Chris Naegel"
Tee No. 10
"6:45 AM,Sam Burns,Brian Gay,Dean Burmester"
